TIME_PERIOD,GT Automatisierung,GT Baugenehmigung,GT Biesse,GT Dürr AG,GT Fertighaus,GT Holzbau,GT Holzhaus,GT HOMAG Group,GT IKEA,GT Internet der Dinge,GT Künstliche Intelligenz,GT Küche,GT Massivholz,GT Möbel,GT Prädiktive Instandhaltung,GT Robotik,GT SCM Group
2024-08-01,60,100,16,34,24,36,61,32,24,79,97,68,71,47,82,55,26
2024-07-01,63,99,18,36,23,42,55,36,24,81,92,69,47,45,80,50,59
2024-06-01,58,88,17,38,22,45,50,37,20,81,96,67,57,41,81,53,100
2024-05-01,61,100,19,38,23,43,54,37,18,88,100,71,42,43,97,57,100
2024-04-01,63,98,17,35,23,41,55,37,20,92,96,71,32,45,100,63,92
2024-03-01,64,98,19,32,23,41,46,42,24,90,96,75,31,48,92,59,85
2024-02-01,67,99,21,41,22,42,45,42,27,92,92,80,34,48,96,58,77
2024-01-01,62,86,22,36,23,43,47,37,28,86,89,80,34,47,74,52,58
2023-12-01,57,65,19,30,18,35,44,30,27,84,81,77,30,43,65,47,54
2023-11-01,63,79,22,37,20,41,46,42,31,87,86,81,39,52,75,54,64
2023-10-01,65,82,22,36,21,41,44,35,30,89,84,78,39,48,86,60,72
2023-09-01,62,84,20,29,22,39,45,35,31,88,70,80,54,50,84,54,67
2023-08-01,62,60,19,27,23,37,47,31,33,80,70,75,72,51,86,48,40
2023-07-01,62,61,21,30,22,37,47,29,31,78,75,73,84,49,76,47,52
2023-06-01,67,60,21,30,21,38,44,29,26,85,75,72,80,48,84,53,54
2023-05-01,77,61,20,33,21,39,45,33,29,88,72,74,100,48,84,55,63
2023-04-01,65,58,19,29,22,37,48,31,29,81,63,73,90,48,71,48,41
2023-03-01,71,62,27,34,22,38,44,35,30,83,49,79,88,50,78,53,51
2023-02-01,64,62,22,31,25,37,44,26,40,86,44,77,47,45,83,50,50
2023-01-01,62,58,20,33,26,36,46,25,50,80,34,79,52,48,72,49,46
2022-12-01,57,40,16,28,19,30,39,24,46,79,34,71,40,41,64,43,45
2022-11-01,63,52,20,30,21,32,41,27,53,89,21,76,44,46,79,49,50
2022-10-01,64,56,19,34,21,33,45,30,49,91,21,77,41,47,68,47,65
2022-09-01,69,55,20,36,20,34,44,33,49,85,21,75,33,45,76,46,53
2022-08-01,62,60,17,32,22,33,47,28,57,75,17,74,32,44,65,41,29
2022-07-01,61,59,19,37,23,34,51,27,54,74,16,75,30,48,69,38,47
2022-06-01,63,64,20,37,23,38,47,30,48,87,17,71,29,44,72,53,57
2022-05-01,57,57,21,33,28,36,48,30,50,91,14,69,30,44,84,54,66
2022-04-01,57,66,22,36,25,34,48,25,54,89,16,79,38,50,77,57,52
2022-03-01,59,70,25,38,25,37,49,31,55,97,15,78,44,51,94,56,49
2022-02-01,59,72,22,39,29,40,52,31,56,91,13,89,53,52,76,48,69
2022-01-01,58,71,19,35,32,38,59,34,68,80,13,86,56,56,68,43,56
2021-12-01,46,54,16,29,24,34,44,27,55,69,13,81,35,45,64,38,36
2021-11-01,48,63,20,42,27,39,51,31,59,76,12,85,42,57,75,42,44
2021-10-01,46,68,22,33,29,39,55,32,55,77,12,85,39,56,74,44,43
2021-09-01,48,73,20,26,35,37,55,33,56,74,10,76,42,54,72,45,34
2021-08-01,43,70,18,35,31,33,61,28,65,65,10,81,55,59,62,37,24
2021-07-01,46,73,20,27,28,35,62,31,62,66,10,79,55,51,72,37,48
2021-06-01,51,79,19,22,27,38,59,33,58,72,10,80,52,57,77,41,25
2021-05-01,47,82,20,24,39,40,71,32,66,69,10,85,51,61,73,42,27
2021-04-01,44,88,19,34,38,41,74,33,66,70,10,88,49,66,80,39,25
2021-03-01,43,92,21,36,34,42,71,32,71,71,10,94,53,67,81,39,35
2021-02-01,43,88,21,32,37,45,73,33,75,67,10,97,55,62,70,41,38
2021-01-01,43,74,17,25,35,41,78,36,80,65,9,98,60,65,62,36,44
2020-12-01,44,55,16,25,30,35,58,32,77,70,10,89,57,59,64,36,0
2020-11-01,39,69,20,25,30,38,65,37,84,68,9,96,62,63,74,35,0
2020-10-01,47,71,21,24,31,37,60,38,83,74,9,95,66,66,75,39,0
2020-09-01,52,74,20,28,28,39,62,38,83,75,9,94,76,66,83,42,5
2020-08-01,44,78,20,28,27,37,69,31,87,66,9,95,65,67,69,39,0
2020-07-01,50,86,23,31,27,40,68,36,84,69,9,99,71,71,75,39,0
2020-06-01,52,83,28,32,31,42,73,35,89,73,10,100,60,70,85,41,0
2020-05-01,45,66,16,33,31,40,81,29,100,72,11,99,60,73,82,41,0
2020-04-01,42,53,16,28,27,36,73,28,71,71,10,83,52,56,65,36,0
2020-03-01,43,50,19,34,22,34,56,35,61,72,10,72,50,46,65,53,0
2020-02-01,54,67,22,34,24,41,62,42,73,84,10,85,60,56,75,64,0
2020-01-01,60,68,24,33,25,41,68,40,83,83,10,86,65,58,65,68,0
2019-12-01,51,47,18,25,19,37,53,34,74,80,9,82,56,49,56,69,0
2019-11-01,55,62,21,30,21,40,51,47,84,89,10,85,62,57,74,78,0
2019-10-01,51,63,21,30,22,39,42,43,73,86,10,79,54,55,75,67,0
2019-09-01,55,64,20,31,23,36,45,36,73,86,10,81,46,54,70,68,0
2019-08-01,45,64,18,33,25,36,56,35,80,79,10,81,47,58,64,62,0
2019-07-01,48,65,23,41,23,40,42,35,69,80,11,77,50,61,66,65,0
2019-06-01,54,68,22,33,23,39,37,38,63,80,12,74,34,55,67,66,0
2019-05-01,48,68,21,37,22,37,35,44,64,82,10,74,32,55,72,68,0
2019-04-01,50,71,18,40,24,39,38,39,66,82,10,75,31,54,65,67,0
2019-03-01,43,75,16,45,23,41,38,43,68,84,10,81,28,60,68,62,0
2019-02-01,50,79,16,34,24,39,36,47,63,86,11,84,33,58,69,59,0
2019-01-01,50,74,16,37,24,40,29,41,74,81,11,86,39,58,55,58,0
2018-12-01,42,47,12,32,18,34,21,36,73,71,10,77,31,52,50,58,0
2018-11-01,47,61,16,36,21,36,23,43,75,85,11,81,36,58,67,69,0
2018-10-01,42,68,17,35,22,38,25,45,70,91,9,76,41,57,66,52,0
2018-09-01,41,76,16,39,24,39,24,44,70,86,8,72,61,59,63,57,0
2018-08-01,40,88,14,44,24,38,27,43,77,83,8,76,83,57,62,51,0
2018-07-01,42,93,19,60,23,39,28,47,67,79,8,72,89,59,56,50,0
2018-06-01,47,92,19,61,22,40,25,45,61,81,8,74,87,57,62,50,0
2018-05-01,48,99,20,59,23,39,28,44,61,87,9,72,83,57,75,58,0
2018-04-01,49,99,19,54,24,40,30,46,65,85,8,73,85,59,68,60,0
2018-03-01,43,96,22,55,24,40,28,52,69,85,9,78,88,59,66,56,0
2018-02-01,46,90,20,34,25,43,27,47,74,87,7,86,92,66,66,49,0
2018-01-01,61,77,20,28,26,40,27,45,77,87,6,91,92,66,50,44,0
2017-12-01,48,51,16,22,21,37,19,37,70,85,6,90,81,58,46,39,0
2017-11-01,56,76,20,32,22,41,22,51,74,92,6,87,94,67,64,48,0
2017-10-01,46,86,20,32,25,41,26,41,73,100,5,92,85,69,60,48,0
2017-09-01,52,79,18,31,26,37,22,42,75,86,5,88,86,62,60,48,0
2017-08-01,44,77,13,33,26,36,24,39,72,76,5,89,89,64,58,41,0
2017-07-01,42,81,16,33,25,38,24,45,71,75,4,92,92,65,47,43,0
2017-06-01,60,86,19,32,24,40,22,48,57,79,4,84,78,59,59,43,0
2017-05-01,56,84,19,37,24,36,23,48,58,88,4,82,77,64,59,46,0
2017-04-01,57,69,19,33,26,36,25,34,61,83,4,87,72,60,47,45,0
2017-03-01,46,2,21,34,25,37,25,43,61,88,4,91,71,64,58,48,0
2017-02-01,50,0,18,37,28,37,24,39,64,81,3,94,79,67,50,43,0
2017-01-01,62,0,15,32,28,37,24,31,68,78,3,84,86,59,39,42,0
2016-12-01,43,0,16,28,19,29,21,29,58,75,4,71,71,47,32,34,0
2016-11-01,46,5,19,32,25,36,26,30,64,81,4,75,68,56,47,40,0
2016-10-01,43,63,19,22,31,40,50,17,53,84,10,69,28,59,40,38,0
2016-09-01,46,65,20,23,34,41,51,20,53,73,11,66,27,55,37,43,0
2016-08-01,37,62,16,23,34,37,50,16,55,62,9,67,23,56,34,32,0
2016-07-01,36,61,17,23,32,40,52,18,52,60,9,65,23,54,31,30,0
2016-06-01,63,63,20,23,30,44,49,20,46,66,9,60,22,52,41,34,8
2016-05-01,57,67,20,25,32,45,56,16,48,69,10,66,26,57,40,36,0
2016-04-01,54,69,20,27,35,49,55,18,49,69,10,63,26,57,36,41,0
2016-03-01,40,66,20,28,33,44,58,21,47,64,10,66,27,56,37,41,0
2016-02-01,52,67,22,27,36,44,58,20,50,62,9,69,32,58,36,38,0
2016-01-01,73,63,18,20,33,42,57,17,56,54,9,69,31,61,26,36,0
2015-12-01,48,46,17,21,27,34,45,19,57,53,9,59,22,49,26,35,0
2015-11-01,48,57,20,26,29,41,46,22,59,56,9,66,24,59,35,42,0
2015-10-01,39,61,21,27,31,41,47,23,60,58,9,63,24,52,38,40,0
2015-09-01,47,59,18,25,32,42,50,22,57,53,9,62,24,56,35,42,7
2015-08-01,39,61,15,23,32,39,56,19,61,46,9,64,23,56,30,35,0
2015-07-01,39,67,19,24,31,42,51,23,54,42,9,62,21,54,32,32,0
2015-06-01,61,65,18,24,29,43,47,25,48,47,9,57,21,51,33,37,0
2015-05-01,52,64,19,22,31,42,53,24,53,48,11,58,22,54,36,35,0
2015-04-01,54,64,20,25,35,43,55,23,52,43,9,61,23,55,32,39,0
2015-03-01,41,63,20,30,35,43,56,29,53,41,9,61,24,59,32,40,0
2015-02-01,49,68,21,24,33,43,56,24,53,37,9,63,25,57,31,38,0
2015-01-01,68,61,18,25,34,42,59,25,59,37,10,61,27,59,26,36,0
2014-12-01,47,43,15,21,25,36,42,21,55,28,9,58,20,48,23,33,0
2014-11-01,50,54,17,27,30,40,48,26,57,29,10,64,25,54,33,36,0
2014-10-01,40,61,19,26,31,43,49,29,54,31,9,61,23,53,35,36,0
2014-09-01,47,64,17,26,33,43,52,28,58,28,10,58,24,53,35,37,0
2014-08-01,37,59,15,27,33,38,54,28,62,23,8,60,22,59,30,31,0
2014-07-01,39,67,17,34,33,42,50,42,53,24,9,59,20,55,27,28,0
2014-06-01,52,66,18,24,32,41,48,25,47,22,8,52,20,52,32,29,0
2014-05-01,46,64,17,24,34,43,50,21,49,22,9,55,21,54,34,33,0
2014-04-01,48,66,16,24,33,43,52,23,49,21,9,56,21,52,28,36,0
2014-03-01,39,65,16,28,33,43,53,24,51,19,9,59,23,55,31,37,0
2014-02-01,47,66,18,40,36,47,50,25,53,16,9,62,24,56,28,37,0
2014-01-01,60,61,17,31,36,45,51,23,58,17,9,60,27,59,22,35,0
2013-12-01,41,43,14,21,23,35,38,19,55,12,9,51,20,49,22,31,0
2013-11-01,44,57,17,29,31,43,45,24,57,13,9,56,22,55,29,32,0
2013-10-01,37,59,19,31,31,43,46,25,53,12,9,59,22,53,36,35,0
2013-09-01,43,62,16,24,34,42,44,23,56,10,9,55,21,54,31,35,0
2013-08-01,37,63,13,24,33,40,49,19,59,8,8,56,19,59,28,29,0
2013-07-01,39,62,15,29,33,43,45,23,49,9,8,56,19,56,25,28,0
2013-06-01,56,58,16,27,31,44,44,21,47,9,8,55,19,52,33,29,0
2013-05-01,45,60,17,33,34,45,48,24,49,9,9,56,20,53,34,32,0
2013-04-01,45,64,17,28,35,47,46,24,49,8,9,53,21,54,27,36,0
2013-03-01,38,61,16,31,37,44,50,24,55,9,9,57,22,55,26,40,0
2013-02-01,47,60,19,30,35,44,47,25,54,8,9,59,22,56,26,38,0
2013-01-01,56,55,18,26,35,43,44,24,58,8,9,60,22,57,22,37,0
2012-12-01,39,37,14,23,26,34,34,21,55,7,9,50,18,46,20,32,0
2012-11-01,43,56,16,35,32,42,42,28,58,7,9,54,20,54,31,38,0
2012-10-01,39,58,19,30,34,46,42,27,53,8,10,58,21,54,33,44,0
2012-09-01,46,65,17,26,38,44,47,29,60,8,9,57,20,55,31,40,0
2012-08-01,38,57,15,27,37,41,48,23,58,8,9,55,17,55,34,31,0
2012-07-01,40,60,15,28,39,46,45,28,55,8,9,56,19,52,25,32,0
2012-06-01,54,59,16,26,39,47,44,25,50,9,9,56,18,52,31,34,0
2012-05-01,46,60,16,30,35,43,45,31,47,8,10,54,18,52,30,32,0
2012-04-01,45,60,17,27,40,49,44,28,54,9,10,57,19,55,31,34,0
2012-03-01,42,59,19,33,40,48,50,32,57,9,11,55,18,58,31,38,0
2012-02-01,46,58,20,32,38,46,50,29,55,9,10,58,21,56,34,35,0
2012-01-01,50,60,18,31,41,46,51,29,60,8,10,61,20,64,24,35,0
2011-12-01,43,42,16,29,31,34,39,25,55,9,11,64,16,50,20,29,0
2011-11-01,44,52,19,30,36,44,46,26,58,11,10,62,19,56,32,36,0
2011-10-01,39,58,19,31,36,41,45,28,59,10,11,61,18,55,31,36,0
2011-09-01,48,61,19,27,38,44,43,35,60,10,9,56,16,57,34,36,0
2011-08-01,41,59,16,31,40,42,49,34,66,10,10,58,16,61,30,32,0
2011-07-01,41,63,18,31,38,43,45,32,60,9,9,59,16,58,24,28,0
2011-06-01,53,65,18,30,40,48,46,33,54,10,10,56,16,54,36,31,0
2011-05-01,46,65,20,34,41,48,50,35,51,11,9,54,18,56,34,33,0
2011-04-01,45,62,20,32,42,49,50,29,52,10,10,54,17,57,32,36,0
2011-03-01,43,69,20,30,45,50,52,37,52,11,9,56,18,60,37,39,0
2011-02-01,52,65,21,33,44,49,52,34,55,10,9,60,20,61,32,36,0
2011-01-01,53,63,20,35,45,49,52,31,64,8,9,61,21,67,28,34,0
2010-12-01,45,40,18,29,31,37,39,32,53,11,9,56,16,52,22,28,0
2010-11-01,44,57,19,33,41,47,46,39,57,12,10,57,19,64,36,37,0
2010-10-01,42,60,22,30,42,45,47,37,59,11,10,59,18,58,37,37,0
2010-09-01,46,65,20,38,46,45,53,39,64,11,9,57,20,60,35,36,0
2010-08-01,43,64,16,35,47,47,57,37,64,10,10,58,17,64,35,33,0
2010-07-01,44,71,20,28,45,46,53,33,52,11,8,57,19,63,27,27,0
2010-06-01,55,72,21,31,46,57,56,28,48,13,9,55,19,60,37,32,0
2010-05-01,52,73,22,29,52,52,60,34,51,12,10,59,21,65,39,36,0
2010-04-01,48,72,21,32,52,52,59,36,48,12,9,58,23,61,34,39,0
2010-03-01,50,74,22,31,58,58,63,35,49,15,9,60,22,69,37,43,0
2010-02-01,58,72,25,33,56,56,63,34,55,9,9,62,25,70,43,40,0
2010-01-01,48,64,23,34,51,50,60,32,61,11,9,61,28,71,28,37,0
2009-12-01,43,43,19,30,38,43,50,29,54,13,9,54,24,60,29,33,0
2009-11-01,47,67,23,31,47,54,46,29,58,12,9,60,26,69,46,41,0
2009-10-01,47,63,23,35,49,53,57,33,56,10,9,57,23,66,41,44,0
2009-09-01,48,64,27,35,52,53,61,42,64,19,9,57,23,66,39,42,0
2009-08-01,46,62,18,39,53,50,69,36,65,5,9,60,21,72,30,36,0
2009-07-01,46,61,19,37,53,53,61,33,55,5,9,56,24,66,31,32,0
2009-06-01,50,61,22,38,50,58,61,34,48,5,9,53,19,65,39,34,0
2009-05-01,49,51,22,40,50,56,64,40,51,6,9,52,17,70,38,37,0
2009-04-01,48,56,24,40,57,55,59,37,45,5,8,51,16,63,32,39,0
2009-03-01,49,57,25,44,52,60,67,43,53,6,8,47,20,67,39,44,0
2009-02-01,49,52,27,48,51,63,63,43,55,5,9,51,20,70,41,40,0
2009-01-01,44,48,24,39,52,57,65,40,58,5,8,46,20,74,33,37,0
2008-12-01,48,39,23,40,36,49,51,35,53,5,8,44,15,58,24,34,0
2008-11-01,49,50,23,46,43,50,55,42,58,5,8,47,17,67,39,43,0
2008-10-01,51,56,26,54,46,60,55,45,52,6,9,47,16,64,36,44,0
2008-09-01,55,51,26,48,49,61,64,57,70,6,8,47,17,70,37,46,0
2008-08-01,47,54,21,45,52,56,70,42,61,5,8,45,15,72,31,38,0
2008-07-01,50,58,24,54,53,59,73,42,54,6,7,43,16,73,32,34,0
2008-06-01,53,59,25,49,52,62,63,53,47,6,8,42,16,67,41,40,0
2008-05-01,51,62,25,48,52,59,70,44,46,7,7,41,14,67,45,42,0
2008-04-01,51,70,27,56,54,65,70,62,50,6,8,46,18,68,43,44,0
2008-03-01,53,64,26,51,64,63,78,47,53,6,8,46,19,75,37,44,0
2008-02-01,50,65,34,53,63,66,76,60,53,7,8,48,19,76,43,43,0
2008-01-01,50,66,32,52,58,64,76,66,58,7,8,50,23,85,34,43,0
2007-12-01,45,49,28,45,38,51,56,60,53,5,7,44,15,65,28,38,0
2007-11-01,52,67,44,54,49,60,65,63,56,6,8,46,19,75,46,48,0
2007-10-01,57,65,47,55,58,64,70,49,55,6,8,42,17,76,36,50,0
2007-09-01,52,63,28,53,60,59,70,55,61,6,7,44,19,77,42,52,0
2007-08-01,54,66,30,56,65,61,84,48,65,6,7,44,17,82,41,42,0
2007-07-01,54,74,46,52,66,69,86,100,58,5,7,43,16,87,40,39,0
2007-06-01,58,73,55,62,61,67,79,57,48,6,7,38,16,73,43,42,0
2007-05-01,55,76,100,59,61,64,90,49,50,5,7,40,16,76,47,46,0
2007-04-01,53,74,72,59,62,64,92,48,48,6,7,38,16,77,45,49,0
2007-03-01,58,69,23,65,65,70,91,52,50,6,7,42,19,85,40,51,0
2007-02-01,55,73,28,51,65,65,84,51,54,5,7,45,18,83,39,48,0
2007-01-01,53,71,22,57,67,64,87,54,58,6,7,45,22,88,33,51,0
2006-12-01,49,47,22,50,42,56,62,46,52,4,7,38,20,69,28,44,0
2006-11-01,60,64,26,57,55,63,70,57,52,6,7,42,18,80,52,52,0
2006-10-01,58,69,25,54,72,65,81,54,56,5,7,43,19,84,49,55,0
2006-09-01,62,74,23,59,66,70,85,55,60,5,8,42,21,82,54,60,0
2006-08-01,61,74,21,47,81,69,98,44,62,5,7,44,18,90,50,44,0
2006-07-01,59,75,23,59,65,67,82,48,48,5,7,40,16,82,42,39,0
2006-06-01,62,69,24,60,62,65,73,45,41,5,7,37,14,76,44,49,0
2006-05-01,65,68,27,64,66,72,81,41,43,5,7,36,15,75,47,54,0
2006-04-01,64,71,22,58,65,69,89,54,40,6,7,39,15,79,41,55,0
2006-03-01,74,68,27,75,81,77,88,61,43,5,8,44,17,87,55,69,0
2006-02-01,68,65,25,63,75,76,84,50,42,5,7,45,17,85,58,59,0
2006-01-01,62,62,25,64,72,80,89,48,48,5,7,48,24,93,43,59,0
2005-12-01,67,42,19,60,60,66,60,43,41,4,8,40,15,72,61,52,0
2005-11-01,69,56,21,65,75,76,78,62,42,5,7,44,18,87,69,66,0
2005-10-01,70,59,19,70,72,70,85,46,43,5,8,43,16,85,56,72,0
2005-09-01,75,64,26,73,80,69,90,44,45,5,7,41,18,85,68,71,0
2005-08-01,69,60,20,93,90,74,100,40,52,5,7,43,18,94,51,55,0
2005-07-01,72,61,20,70,85,75,93,48,42,4,7,42,15,89,53,54,0
2005-06-01,83,64,19,73,79,86,91,41,34,5,7,37,17,83,61,58,0
2005-05-01,79,62,28,72,87,75,89,51,32,5,8,39,18,85,60,68,0
2005-04-01,80,68,23,93,95,85,98,50,32,5,8,42,21,87,66,71,0
2005-03-01,82,60,27,61,89,82,90,29,33,5,7,43,18,88,59,75,0
2005-02-01,80,66,25,73,100,80,92,64,35,5,8,45,17,93,85,72,0
2005-01-01,77,60,22,61,94,88,89,30,38,4,8,45,17,97,61,67,0
2004-12-01,80,37,19,74,65,68,69,49,32,4,9,41,17,77,49,64,0
2004-11-01,84,52,20,71,77,87,81,48,35,4,9,42,17,89,78,78,0
2004-10-01,85,59,19,72,91,85,87,65,34,5,8,43,18,87,61,86,0
2004-09-01,87,57,28,76,97,80,93,50,36,4,8,40,16,88,86,85,0
2004-08-01,88,64,18,74,99,80,94,36,37,4,8,42,22,97,65,73,0
2004-07-01,91,62,24,100,98,83,86,34,32,5,8,41,16,96,70,68,0
2004-06-01,92,59,20,71,93,86,85,42,27,4,8,38,17,87,63,75,0
2004-05-01,92,62,20,72,90,85,86,37,25,4,8,39,12,86,67,82,0
2004-04-01,95,63,21,70,94,81,87,55,25,5,8,38,15,90,82,86,0
2004-03-01,99,63,22,69,95,90,97,73,26,5,8,43,17,91,70,100,0
2004-02-01,100,62,25,77,100,97,84,52,26,5,8,42,20,93,58,94,0
2004-01-01,89,61,30,61,95,100,87,48,30,5,8,45,23,100,59,91,0
