,TIME_PERIOD,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,EA19,ECU,EGY,ERI,ESP,EST,ETH,EU27_2020,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OECD,OECDA,OECDE,OECDSO,OMN,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
0,1970,31.05374,38.54877,12.06528,15.31685,394.2868,0.0,,387.642,148.3088,0.0,11.16065,222.6306,10.36389,8.038265,125.3537,73.53749,6.754932,2.438315,0.018063,0.0,0.708423,29.018,694.4573,,3.29747,2.766044,3.169281,6.006851,700.7433,178.9592,87.95509,2137.953,32.43108,18.06662,58.30507,6.929093,149.5468,,16.43442,89.94757,14.57803,0.0,1698.393,1.003181,26.7655,96.1357,29.99366,67.73616,4872.3823242188,36.74096,158.1236,0.0,427.0594,1.130087,0.0,5966.5751953125,101.6341,,830.4267,2.816321,794.7282,0.0,48.0206,16.30516,2.407218,1.879021,96.68159,26.06317,,420.1276,17.74096,1.019927,16.83366,114.644,223.4313,1622.549,57.87679,148.1741,17.34328,10.96516,113.5693,856.2231,12.81176,17.32217,1372.403,0.0,45.95655,0.0,32.2551,134.121,86.85256,12.10882,39.81877,2.650404,24.39163,31.57162,,1.369505,9.9531,1.115964,68.09187,0.0,37.96928,,407.846,0.025536,9.49127,11.17509,71.65648,31.84815,56.46746,12.48335,,12.73741,49.778,8.931308,24.47402,162.4776,20.64037,310.007,88.30463,30.32678,88.06341,16472.876953125,6920.7241210938,7083.0263671875,2469.1271972656,6.653344,164.7596,22.22857,104.2304,172.3364,12.6728,441.9961,95.84493,80.62773,21.45506,9.163567,247.2565,0.0,9.650079,61.814,0.0,41.39552,28.53585,6.188766,17.19113,33.17973,0.0,0.0,,,1.870623,1.320875,119.6032,,,16.78611,18.67408,10.12415,147.7211,0.0,0.0,,25.73696,230.3447,69.90706,52.37226,0.0,31.83758,6565.445,0.0,81.81479,78.41865,,,20.11119,195.8778,26.96226,24.15328
1,1971,30.40457,39.06784,12.11909,18.77549,409.1482,0.0,,409.0457,153.0202,0.0,11.32512,228.8203,10.31347,7.378625,119.7489,75.5104,6.72521,2.515732,0.018678,0.0,0.764508,29.90123,718.0644,,3.336826,2.801648,3.667758,6.25773,737.1935,183.9111,90.92571,2294.296,34.35202,19.13622,60.59777,7.258014,162.6904,,17.08848,82.81326,16.02945,0.0,1740.626,1.042817,29.34544,98.009,32.92663,64.40933,4997.294921875,35.93591,156.2015,0.0,424.8438,1.168486,0.0,6134.611328125,104.1542,,850.3978,3.05928,835.4756,0.0,49.70892,16.58352,2.492866,1.685652,99.83201,26.3643,,424.21,17.86497,1.054582,17.49203,122.4901,230.9783,1619.133,62.57445,166.3289,18.06208,11.09428,117.7294,886.3313,13.05406,19.21364,1473.693,0.0,47.51043,0.0,29.30481,140.9881,103.439,11.58077,41.92844,2.87638,26.49955,31.9245,,1.416039,10.22324,1.153883,72.96898,0.0,37.44403,,406.4944,0.026405,9.979136,11.6085,73.88081,33.21196,60.12544,12.27917,,14.76597,52.96473,9.139991,25.84475,155.8052,20.05021,321.0192,93.41515,30.69813,89.45811,17027.154296875,7147.7646484375,7278.0161132813,2601.373046875,6.642352,163.8605,24.82817,101.482,184.175,13.30756,450.6884,102.1408,80.77629,21.32434,11.46312,267.4146,0.0,9.926122,68.12514,0.0,45.1853,30.28107,6.158904,17.413,33.34936,0.0,0.0,,,1.934183,1.365756,122.1494,,,18.37941,19.00591,10.38558,149.1996,0.0,0.0,,28.23919,237.6062,72.09421,51.4431,0.0,33.5162,6742.436,0.0,83.94426,81.04154,,,22.10554,215.303,29.59675,28.17627
2,1972,28.27852,38.49937,12.18898,21.48565,398.0491,0.0,,421.8173,159.2039,0.0,10.76767,230.17,10.68739,7.470552,118.1144,79.70199,7.400661,2.557616,0.018979,0.0,0.84507,32.98442,764.8785,,3.9473,2.81023,3.839456,6.716152,771.1059,189.6186,89.36652,2382.104,34.96613,20.12364,62.61509,6.867057,157.7227,,18.17653,81.8602,16.90195,0.0,1771.273,1.122241,31.82543,99.08101,34.85841,72.90015,5095.0659179688,35.18243,152.26,0.0,468.4527,1.187315,0.0,6284.2055664063,104.3139,,866.3237,3.142417,826.7469,0.0,46.15594,16.56024,2.601497,1.649394,105.0104,27.22971,,429.4104,17.96119,1.071573,17.36032,121.2835,235.3964,1601.354,61.70406,180.9461,18.00107,11.67992,148.4818,871.5747,13.30679,19.23473,1661.742,0.0,47.65771,0.0,27.22456,137.5607,104.8777,11.48703,45.7636,2.911941,28.13009,34.64495,,1.438856,10.22424,1.172477,73.72073,0.0,37.69164,,419.7207,0.026831,9.021453,11.15669,74.88781,33.838,62.59777,11.59625,,15.55237,57.59715,8.94395,25.93297,143.4059,19.69576,328.6277,91.35686,30.69825,95.94674,17522.58203125,7355.4580078125,7413.271484375,2753.8518066406,6.894159,150.0345,13.96731,95.15336,184.2646,13.88957,480.0105,105.4756,82.97707,21.52163,14.1009,285.9306,0.0,9.81791,72.37307,0.0,43.4225,32.72968,6.496108,17.76392,34.27695,0.0,0.0,,,1.965349,1.387763,122.0606,,,23.01852,19.15895,10.4081,144.6615,0.0,0.0,,30.61979,246.4621,72.72191,52.17071,0.0,29.35849,6862.412,0.0,86.28036,78.01709,,,22.10924,215.2789,32.05233,29.57717
3,1973,29.88949,40.07074,13.54645,30.13144,421.4234,0.0,,455.9776,163.256,0.0,11.2368,237.9861,11.16991,7.309683,123.1018,79.43172,7.949057,2.672236,0.019569,0.0,0.967885,34.56883,815.7985,,4.675452,2.928433,4.010913,6.971566,813.6185,198.5997,97.57087,2485.134,37.65619,21.21265,65.32597,6.723443,164.9643,,19.793,91.63822,17.84997,0.0,1811.349,1.191488,33.22213,104.6456,36.75442,75.5708,5336.9311523438,36.84443,143.9269,0.0,481.631,1.22423,0.0,6584.0927734375,108.4742,,919.1811,3.927133,856.8336,0.0,46.23166,16.78798,3.021314,1.684033,113.3727,29.08556,,456.9364,18.04445,1.104891,17.35553,130.0737,265.2673,1678.358,64.85474,210.738,18.087,12.45036,160.5245,961.418,12.73485,20.29715,1922.192,0.0,51.39211,0.0,25.56466,157.9428,102.3061,11.01197,48.81833,3.041888,32.92151,32.97002,,1.483591,10.8,1.20893,71.92837,0.0,38.914,,439.5899,0.027665,9.134593,12.16248,78.84721,34.61423,65.07664,11.60985,,15.41662,68.6169,9.317703,19.99909,154.4116,21.11351,340.4821,96.62523,31.62694,102.5507,18564.3359375,7755.142578125,7795.4291992188,3013.7641601563,7.268495,152.6235,15.06303,92.4974,196.5432,15.5418,516.3671,110.1246,86.73959,22.72993,16.61209,288.4207,0.0,10.22505,83.31641,0.0,47.15463,37.7753,6.317441,18.41669,33.14108,0.0,0.0,,,2.026453,1.43091,127.1179,,,16.84431,17.75044,11.01634,160.0898,0.0,0.0,,32.46233,251.4469,76.72198,52.45771,0.0,32.60288,7083.135,0.0,90.83597,78.80438,,,22.74744,205.3916,31.10023,24.7001
4,1974,31.34009,39.84086,13.83561,50.76421,426.9407,0.0,,478.6123,165.8307,0.0,11.28263,237.482,10.42165,8.503346,123.1175,77.964,9.14916,2.682088,0.020535,0.0,1.037813,38.17637,875.0732,,6.415998,3.044889,4.667299,6.824894,856.3256,195.211,98.76218,2520.13,39.06874,22.17696,68.12437,6.910471,171.6234,,20.65959,92.31631,16.81641,0.0,1774.167,1.246665,34.76757,97.17275,38.83415,87.14348,5265.0893554688,41.648,137.5117,0.0,486.9246,1.284707,0.0,6543.8725585938,110.4495,,933.8807,5.773789,796.7302,0.0,48.61397,16.91995,3.088993,1.744734,110.096,29.78517,,455.1795,18.1643,1.159473,17.68102,132.3326,301.6399,1673.458,66.28884,255.4679,18.28119,9.578083,194.57,901.6142,14.10768,20.95147,1813.146,0.0,52.54684,0.0,23.99312,175.7425,149.6451,11.01454,56.026,2.926965,44.54191,34.27176,,1.556882,11.06787,1.268653,79.97417,0.0,39.79206,,465.1862,0.029031,9.495052,12.3927,78.39693,34.66798,59.31089,10.86602,,15.6008,72.9421,9.779138,21.07832,172.3659,24.01613,343.7886,95.49529,32.29716,101.4361,18448.474609375,7735.2143554688,7708.5517578125,3004.7092285156,10.49876,164.1481,17.02033,99.45141,206.5551,15.87296,537.1852,115.2065,86.55171,24.46253,16.68276,302.8476,0.0,10.26863,132.3531,0.0,56.78067,38.91015,6.430453,19.44007,33.38044,0.0,0.0,,,2.126562,1.501599,130.1215,,,24.62816,16.26019,11.42658,165.6547,0.0,0.0,,36.59629,272.2384,77.72559,53.65642,0.0,36.88294,6880.637,0.0,98.45943,78.76696,,,23.12682,246.8962,31.58009,30.61344
5,1975,32.8657,35.24518,14.94481,54.47092,420.2076,0.0,,489.5869,159.6526,0.0,11.86303,230.8798,10.64337,9.423141,130.6138,82.59901,8.842606,2.644498,0.020764,0.0,1.000249,40.0747,925.8475,,6.499125,2.889832,4.441061,7.10644,835.3073,182.5892,63.19833,2693.002,42.4414,24.10748,67.94021,6.916924,178.1798,,20.85658,98.03596,16.68529,0.0,1719.408,1.257454,34.27357,97.45968,37.95253,92.65175,5145.0522460938,44.67556,142.8513,0.0,492.0839,1.299048,0.0,6453.2216796875,104.1423,,887.1384,6.350442,797.1096,0.0,48.77491,17.03867,3.14942,1.827604,115.2254,30.70369,,458.0309,17.89054,1.172415,17.57138,135.4528,301.6501,1757.501,66.45536,277.3647,19.30801,10.03986,179.2358,901.5287,14.78022,24.57277,1692.366,0.0,52.68095,0.0,22.74981,182.4323,125.6695,10.8073,49.97461,2.901983,41.30102,32.69885,,1.574261,10.95387,1.282814,80.39453,0.0,40.21054,,495.5635,0.029356,10.89558,12.99704,80.58989,36.26628,54.39622,11.24011,,15.79191,72.13302,8.63907,21.2057,171.5595,23.98792,334.8342,95.15211,32.86188,92.70893,17878.998046875,7371.0283203125,7587.4633789063,2920.5053710938,11.50043,163.4877,15.10316,93.1797,218.3235,15.0074,557.7656,123.5883,85.24252,25.84903,16.92886,310.1434,0.0,10.86233,123.4104,0.0,54.64342,38.17078,6.448078,20.55023,35.92677,0.0,0.0,,,2.1503,1.51836,123.5766,,,27.82421,17.36818,11.2752,172.7273,0.0,0.0,,40.28683,281.9027,82.69847,56.3444,0.0,33.58033,6475.827,0.0,101.0037,77.34961,,,25.395,227.9602,30.03161,29.39959
6,1976,33.98202,32.17591,16.87298,67.21831,432.0762,0.0,,493.7787,163.8321,0.0,12.00589,236.6351,11.10232,8.422591,128.7892,85.28101,11.37953,2.717422,0.02309,0.0,0.882448,42.42756,1049.973,,7.346113,3.138584,4.675975,7.560686,889.5421,186.8855,73.60059,2819.04,46.76335,23.59056,67.93162,6.898591,185.9723,,21.23803,101.3304,17.54897,0.0,1743.357,1.384525,37.68347,100.5442,40.75581,99.68678,5280.3662109375,45.19206,154.7732,0.0,530.6726,1.444524,0.0,6647.1494140625,104.8591,,909.6721,7.819326,757.525,0.0,46.15593,17.52241,3.100842,1.850283,119.2303,33.0134,,456.9605,18.78027,1.30371,18.27054,137.6023,326.5027,1765.39,64.35168,345.0758,22.20238,10.07596,177.0732,921.3453,13.35672,32.05941,1775.666,0.0,53.23186,0.0,20.29457,222.2034,142.3013,10.31697,25.55386,2.986042,50.03626,32.11443,,1.750556,11.34472,1.426472,91.45815,0.0,40.57394,,493.7133,0.032644,11.18371,13.80984,81.82143,36.60851,51.50803,11.78213,,16.98814,81.9658,8.525414,24.7753,169.6385,24.90588,345.907,102.0873,32.90398,91.63856,18266.220703125,7465.1850585938,7775.6909179688,3025.3442382813,12.87259,176.1982,14.09126,112.3774,236.0989,15.61589,578.2852,123.5738,89.09933,28.72661,22.6659,338.6494,0.0,10.92701,158.3177,0.0,53.60257,39.61233,6.159437,21.14802,35.82127,0.0,0.0,,,2.391104,1.688395,125.1176,,,33.33219,17.39441,11.11297,189.8833,0.0,0.0,,40.6104,309.3615,83.96994,56.10112,0.0,32.48561,6578.493,0.0,120.7561,86.63622,,,25.42636,227.7638,30.00797,29.64685
7,1977,32.18196,31.68321,17.54127,71.89211,449.9167,0.0,,465.2596,163.6461,0.0,12.21826,237.9269,11.20242,9.20057,137.2191,86.63654,13.01147,2.754515,0.023284,0.0,1.221017,42.66813,1105.286,,7.922986,3.422476,4.676074,7.869984,915.6569,188.375,81.53094,2937.949,52.22453,24.73644,71.42828,6.698659,190.0207,,23.56813,102.0537,18.81661,0.0,1760.749,1.396059,39.33448,102.2122,41.96181,103.7992,5323.8720703125,50.75286,163.0509,0.0,520.4924,1.456654,0.0,6712.4521484375,104.6177,,912.4592,7.150044,762.843,0.0,43.57244,17.60622,3.047162,1.796285,125.8017,34.99946,,461.9171,20.10312,1.314658,18.02695,145.1186,341.8571,1848.016,66.08035,364.3174,22.2988,10.44808,158.9677,933.8423,12.54013,34.28419,1911.349,0.0,56.38931,0.0,19.28658,260.6856,131.0685,10.62132,38.90506,3.646288,51.09731,30.69587,,1.765256,11.59717,1.43845,88.36518,0.0,39.40182,,491.345,0.032916,11.33001,14.00387,86.34157,35.84528,51.10089,11.78592,,17.48969,86.62689,8.70096,27.49004,180.3817,26.4924,351.4908,100.4776,32.63395,91.80688,18700.8828125,7745.32421875,7839.0180664063,3116.5407714844,12.37557,188.5802,14.3743,121.9929,229.7398,16.05395,584.9956,124.9208,93.57392,31.46412,21.5499,343.5135,0.0,11.24926,183.3035,0.0,53.38768,40.03675,6.183026,23.52686,37.18214,0.0,0.0,,,2.411183,1.702575,124.7887,,,30.1945,18.98832,11.34633,197.4511,0.0,0.0,,43.97472,318.3493,87.55286,55.33469,0.0,31.97651,6770.855,0.0,124.8967,88.61275,,,25.24501,234.0726,28.37128,29.16263
8,1978,32.8084,31.08551,18.29241,62.69791,451.0417,0.0,,457.1442,163.8815,0.0,12.36556,241.6265,12.04384,9.818005,142.7027,89.72018,14.3056,2.794739,0.023376,0.0,1.7022,45.28437,1168.668,,7.498302,3.523617,4.508744,8.095489,889.8834,189.9718,80.60783,3202.512,54.85017,25.06358,74.16624,6.299397,201.6296,,25.07737,110.4749,19.72096,0.0,1782.154,1.388693,38.02122,101.2025,39.45719,113.8353,5387.587890625,50.67875,170.7044,0.0,543.9095,1.462463,0.0,6815.2387695313,110.0332,,909.1152,5.768161,805.9112,0.0,41.60989,17.65687,3.285644,1.68857,124.9141,34.12109,,469.8505,20.95494,1.319902,18.35135,150.8319,354.2166,1915.889,71.51008,370.7282,24.54995,10.56869,178.2975,930.4993,10.95361,41.01348,2126.778,0.0,57.19701,0.0,18.21095,285.6744,141.7802,11.01179,37.7977,3.503456,46.15231,27.7187,,1.772298,11.81569,1.444187,94.58705,0.0,41.91743,,541.0765,0.033049,11.96807,13.90773,91.45507,35.81612,48.18464,11.6604,,17.877,93.70215,7.988911,29.5001,177.4485,25.88234,355.2686,106.6009,33.38206,89.81796,19358.662109375,8108.5087890625,7971.7661132813,3278.3876953125,11.26291,188.9242,15.53436,111.2493,232.8834,16.63713,608.791,124.7787,100.4226,33.29294,23.06229,351.1032,0.0,11.54954,188.9722,0.0,56.32558,41.01115,6.283057,24.72795,39.12611,0.0,0.0,,,2.420801,1.709365,124.6818,,,34.43244,19.35908,12.8135,210.2899,0.0,0.0,,43.61914,338.2313,88.47544,55.34865,0.0,32.36986,7024.988,0.0,141.6706,89.74778,,,25.24542,234.7909,25.67881,28.01
9,1979,31.96263,31.3198,18.15565,71.36629,455.0607,0.0,,454.7469,166.2428,0.0,12.88387,250.576,12.44663,10.4863,144.9794,93.7886,12.34895,2.882378,0.023565,0.0,1.577142,45.7729,1237.883,,9.053333,3.682431,4.689597,9.089803,903.498,196.5449,91.49693,3345.911,58.41301,28.77691,73.99316,6.687628,205.3618,,25.97065,110.0821,21.8787,0.0,1829.708,1.428192,39.13802,103.4096,40.73117,124.494,5528.1108398438,56.39753,145.7274,0.0,537.3502,1.474245,0.0,6948.6318359375,114.3101,,937.7616,6.467963,871.0059,0.0,39.29859,17.79755,3.213989,1.69364,132.9853,34.42262,,470.3718,21.71565,1.330534,18.44484,147.6939,349.8408,1851.313,73.74796,309.3868,26.54498,11.22667,221.9857,951.0985,9.57653,49.13444,2098.086,0.0,58.2419,0.0,16.64247,310.0566,187.932,11.45115,41.89461,3.817592,54.16303,30.1162,,1.786574,12.22072,1.45582,99.44113,0.0,41.55267,,573.3945,0.033315,11.90355,14.58393,94.42907,36.86583,47.04898,11.90676,,17.98173,105.2721,8.708564,31.51749,184.9969,22.00643,369.9134,110.5308,32.41333,91.77087,19862.9140625,8348.6083984375,8128.8764648438,3385.4299316406,12.18608,197.8871,16.12406,94.03751,234.3644,17.15453,584.0419,131.6755,106.8535,35.43222,26.99137,361.5219,0.0,11.32865,215.5501,0.0,56.81256,43.43252,6.049853,24.61935,38.89758,0.0,0.0,,,2.440301,1.723134,128.7347,,,34.92149,18.95484,12.86156,212.6074,0.0,0.0,,46.62963,333.9178,90.63812,48.67012,0.0,36.80855,7188.419,0.0,138.225,91.75583,,,26.31675,240.2675,25.65944,25.62638
10,1980,31.35287,32.6215,19.19615,78.6769,437.1791,0.0,,481.2858,165.8028,0.0,12.70798,248.0177,14.07863,9.990323,136.5402,92.56322,13.46969,2.840178,0.024323,0.0,1.601339,46.54615,1321.278,,11.72467,4.159771,5.48895,9.254614,901.8741,197.5995,100.6916,3392.246,61.34657,31.15885,72.02136,7.388373,205.1162,,26.53189,105.6058,22.46306,0.0,1818.774,1.50347,38.17207,97.30951,40.02105,133.9262,5523.353515625,61.52094,151.8443,0.0,551.233,1.521689,0.0,6937.9770507813,112.7598,,941.2611,7.625481,909.3159,0.0,37.20196,17.92022,3.320641,1.700002,132.201,36.69926,,485.1763,22.63421,1.373354,19.27776,148.4803,387.7125,1891.179,71.25527,281.0411,26.84383,11.16098,185.1632,952.8255,11.71074,47.92452,1985.884,0.0,58.92892,0.0,19.01593,268.2567,178.8692,12.58193,44.07792,3.860466,62.62272,30.71011,,1.844071,12.26468,1.502673,100.6966,0.0,39.97646,,666.2943,0.034387,12.01969,15.23467,96.40793,37.69723,44.73615,12.27621,,18.00268,115.5498,10.14515,33.74364,196.3006,20.7136,362.2402,109.7613,34.6075,89.79744,19393.935546875,7980.7607421875,8099.9135742188,3313.26171875,15.39807,200.606,17.19062,97.33917,239.8472,18.31731,586.8901,133.3526,107.8547,39.10728,29.22878,360.1847,0.0,11.62026,318.9406,0.0,57.72535,44.99056,6.001083,22.75094,39.28687,0.0,0.0,,,2.518837,1.778589,127.8223,,,43.70294,19.17784,12.06436,209.3329,0.0,0.0,,50.52153,324.5171,89.79995,47.87559,0.0,43.87916,6714.514,0.0,138.1712,78.40878,,,26.57971,266.0424,26.39157,27.98437
11,1981,30.95099,32.5785,20.05171,80.08856,456.8423,0.0,,502.8743,159.802,0.0,13.05618,241.1551,14.11417,10.67143,137.1515,94.99257,14.35852,2.868221,0.024885,0.0,1.284943,47.94875,1399.499,,9.188777,4.393226,6.00164,9.06573,886.2817,195.3937,111.3745,3424.222,57.47547,30.38708,70.10312,7.867073,206.7411,,20.18605,109.6722,21.95615,0.0,1753.493,1.621657,38.01466,91.46956,40.27097,134.38,5380.9448242188,59.52857,135.8551,0.0,549.4224,1.556793,0.0,6737.1030273438,105.5927,,919.9202,7.165894,877.5062,0.0,39.03499,18.14797,3.4987,1.697614,138.4776,38.1206,,490.7911,23.3517,1.405036,19.82042,147.5196,434.0738,2021.716,69.18486,283.2037,25.69258,11.10847,199.1065,925.6233,11.7209,42.60553,1969.312,0.0,58.40204,0.0,19.39831,283.4883,151.7486,13.08633,43.07542,3.606366,56.63253,30.71006,,1.886612,12.05202,1.537338,86.77448,0.0,40.02471,,748.7778,0.035181,12.64075,15.08369,101.1594,38.33804,44.47368,13.01378,,18.84685,119.9997,9.604307,33.69095,196.1698,21.68923,350.9346,110.3402,35.38145,89.13817,19023.3046875,7821.9448242188,7881.8720703125,3319.4873046875,19.66461,218.3687,17.0674,106.9952,247.195,17.73837,542.9902,136.4905,108.8699,42.63223,30.30188,352.9391,0.0,12.27888,341.2611,0.0,59.25463,47.87695,5.976427,21.11031,41.32631,0.0,0.0,,,2.576944,1.81962,124.8423,,,50.5105,19.20535,11.05215,224.013,0.0,0.0,,50.45214,332.3026,92.77149,51.07835,0.0,45.80399,6693.768,0.0,153.9078,76.23313,,,27.28677,301.9155,25.56825,35.16594
12,1982,30.49833,33.00639,18.45668,73.88222,443.6225,0.0,,490.4902,168.2319,0.0,13.85849,237.1174,14.23867,10.53854,139.1214,99.78272,15.49571,2.891029,0.024776,0.0,1.212237,48.2509,1449.462,,9.745831,4.506203,5.529034,9.085558,827.0408,192.3117,93.32453,3643.479,56.30676,30.69584,72.21806,8.2027,211.9208,,19.65347,112.4454,21.98264,0.0,1712.712,1.699195,38.73233,93.73121,42.94117,145.4532,5314.162109375,56.4036,147.1508,0.0,559.738,1.549979,0.0,6697.9692382813,110.8997,,897.3344,6.851252,891.8422,0.0,39.34332,18.15866,3.594005,1.748659,135.6403,38.91518,,508.4327,23.21432,1.398887,20.18342,158.0624,435.3444,2097.12,67.66057,338.139,26.66991,10.9583,182.5045,915.8491,12.15282,45.28999,1856.894,0.0,62.33883,0.0,21.61147,303.6532,143.3731,13.31471,32.01304,3.62716,57.73331,33.51655,,1.878353,11.94639,1.530608,90.981,0.0,40.94956,,703.6688,0.035026,12.5921,15.27059,105.3872,41.94546,44.77731,13.19968,,19.57983,132.5158,9.229846,34.15014,204.5533,22.52162,336.4137,112.0931,34.16348,89.44584,18596.984375,7516.6997070313,7857.0278320313,3223.2568359375,22.9999,229.9938,16.96403,112.0079,250.5628,17.81934,539.52,141.4291,114.029,43.18714,26.15232,367.0536,0.0,12.64197,337.1269,0.0,56.43858,49.56186,6.256244,20.3916,42.68105,0.0,0.0,,,2.565664,1.811655,124.2585,,,50.07551,19.68226,10.65296,235.5329,0.0,0.0,,51.02098,338.6499,95.43662,52.92194,0.0,40.62198,6553.419,0.0,133.8004,84.38422,,,27.9823,270.0479,28.47597,31.32229
13,1983,29.0652,33.3983,18.91198,67.49657,443.8164,0.0,,474.1187,164.1931,0.0,14.66038,229.5708,13.9511,9.663496,141.6589,95.99608,16.96282,2.843127,0.025256,0.0,1.165513,48.98653,1373.307,,9.105119,4.360878,5.476462,9.157495,885.5345,189.4729,85.2764,4059.254,50.69592,30.52643,71.02273,7.819443,209.9571,,20.961,114.4998,21.58683,0.0,1709.368,1.79157,41.16273,92.66975,44.95648,154.9118,5233.3950195313,53.3384,162.3423,0.0,548.834,1.580016,0.0,6614.8994140625,113.3778,,869.9953,6.535363,883.7513,0.0,38.55009,18.43853,3.403126,1.756153,138.1664,38.23268,,522.5911,24.70213,1.425995,20.17158,149.5966,446.7798,2241.879,66.69022,381.2594,26.43782,10.99186,199.6754,900.0861,12.43542,44.96895,1898.884,0.0,62.69125,0.0,22.87947,336.7567,128.6627,13.5796,34.66379,3.361664,57.33482,34.22934,,1.914754,11.91022,1.56027,87.26789,0.0,42.15408,,668.9833,0.035705,12.50111,15.44995,110.0008,43.42029,42.40941,12.37231,,18.97794,139.4942,9.528462,34.50969,204.9361,21.64091,328.0112,106.9031,37.31022,99.63374,18488.10546875,7492.6557617188,7778.1640625,3217.2866210938,29.38247,231.7706,16.43179,94.71239,228.8888,17.36892,558.5613,140.8686,106.6381,43.27116,21.73124,359.0967,0.0,13.28777,355.1675,0.0,55.9538,52.67382,5.842742,21.77775,41.20642,0.0,0.0,,,2.615384,1.846763,124.1579,,,53.35768,20.50747,10.0512,247.3528,0.0,0.0,,60.56657,332.7771,98.30029,55.65639,0.0,28.82651,6566.234,0.0,127.0096,93.63615,,,29.54156,252.7506,25.34344,26.47547
